x,y,led_0,led_2,led_4,led_12,led_14,led_16,led_24,led_26,led_28
890,140,0.2620555,0.5947295,0.036241267,0.039067447,0.057760797,0.014927926,0.0,0.0,0.0
190,890,0.20693351,0.041928038,0.0,0.5610058,0.06188331,0.0,0.033502292,0.016565315,0.0
750,440,0.3018078859314891,0.36808792,0.024074554,0.10195737,0.11270399,0.01512564,0.007559959,0.013307037,0.0
480,1910,0.0,0.0,0.0,0.18669286,0.07970034,0.0,0.5064841,0.18000771,0.0
20,2370,0.0,0.0,0.0,0.053398434,0.018032638,0.0,0.6237125997874204,0.056756567,0.0
1120,1720,0.0,0.01851368,0.012393162,0.066334985,0.34064782,0.046891604,0.08498436,0.35900566,0.05849582
870,140,0.26090065,0.57936925,0.033992056,0.041094646,0.0565088,0.013675445,0.0,0.0,0.0
1640,1770,0.0,0.015791079,0.016369347,0.020072749,0.19723198,0.17126128,0.023722628,0.24467786,0.21554022
2570,690,0.0,0.019295894,0.2565364,0.0,0.022822559,0.23469137,0.0,0.0,0.0
2010,1890,0.0,0.0,0.014273206,0.0,0.0729381,0.22834837,0.0,0.112917125,0.5098213160845142
1660,2630,0.0,0.0,0.0,0.0,0.023626676,0.023420345,0.026068822,0.27645066,0.29173156513114173
1620,890,0.0,0.13694678,0.12401805,0.022740033,0.31134477,0.23408125,0.0,0.027427817,0.022660542
670,1920,0.0,0.0,0.0,0.13840538,0.11693039,0.016833374,0.38607925,0.29464534,0.02347612
670,690,0.22694781,0.19575493,0.016585443,0.2046603,0.1752547,0.017096853,0.020379925,0.01819469,0.0
2480,1950,0.0,0.0,0.014003084,0.0,0.02316802,0.18077579,0.0,0.032145448,0.4195503024432009
2220,630,0.0,0.05128526,0.4249115,0.0,0.046018507,0.2776287,0.0,0.0,0.0
1890,2050,0.0,0.0,0.0,0.0,0.06621359,0.12856795,0.0177268,0.19443879,0.5857081445378822
550,1930,0.0,0.010890399,0.0,0.16423357,0.092037015,0.0,0.47940564,0.21969408,0.018946523
2780,430,0.0,0.01688012,0.23879798,0.0,0.0,0.08514272,0.0,0.0,0.0
2050,2700,0.0,0.0,0.0,0.0,0.014651519,0.022932421,0.0,0.08796926,0.41658213970080793
1020,2630,0.0,0.0,0.0,0.008983717,0.025358398,0.0,0.12534797,0.46664172,0.051180705
2550,1820,0.0,0.0,0.014791839,0.0,0.02310432,0.2300561,0.0,0.024712192,0.2824708908562657
1950,1640,0.0,0.018284507,0.02466747,0.0,0.12172031,0.38594776,0.0,0.08713048,0.2563573200489173
2540,770,0.0,0.021236278,0.22391924,0.0,0.024794878,0.29519394,0.0,0.0,0.02044175
2530,2010,0.0,0.0,0.0,0.0,0.020957062,0.1418051,0.0,0.030037178,0.4144444590545743
2560,2620,0.0,0.0,0.0,0.0,0.0,0.027323736,0.0,0.024983753,0.31112025624202777
120,850,0.22196435392240055,0.037909955,0.0,0.5008422,0.049307995,0.0,0.029718457,0.0149165755,0.0
1770,2170,0.0,0.0,0.0,0.0,0.060014874,0.082215175,0.022229677,0.29274443,0.5198755226535232
2530,1100,0.0,0.017307213,0.08853223,0.0,0.033529438,0.49449512,0.0,0.0,0.0378805
410,2050,0.0,0.0,0.0,0.13636109,0.05346285,0.0,0.67466116,0.17007843,0.0
1890,2680,0.0,0.0,0.0,0.0,0.019159678,0.023420345,0.016985085,0.14447126,0.39681044
1870,1660,0.0,0.01800041,0.022366038,0.0,0.14397934,0.3486216,0.015461759,0.111069076,0.24680406
280,1960,0.0,0.0,0.0,0.18061958,0.04571274,0.0,0.651984181477995,0.10482409,0.0
1040,2090,0.0,0.0,0.0,0.044692036,0.11377027,0.024640156,0.1681439,0.6751045,0.062448237
2180,2490,0.0,0.0,0.0,0.0,0.018314399,0.039580386,0.0,0.07495126,0.6534194866998265
2090,780,0.0,0.059865,0.28423506,0.0,0.077901,0.40326908,0.0,0.0,0.021455994
1170,420,0.10007148,0.6356395,0.0742077,0.040145986,0.1541227,0.032202974,0.0,0.009430541,0.0
2220,90,0.0,0.0732744,0.7685737,0.0,0.020850237,0.051475972,0.0,0.0,0.0
10,260,0.6683345,0.05254618,0.0,0.09460977,0.019992707,0.0,0.0,0.0,0.0
1830,1680,0.0,0.015791079,0.021485891,0.0,0.15665855,0.2993413,0.016071089,0.12709127,0.25180054
460,360,0.6183138729053925,0.19058199,0.0152731035,0.12135048,0.057426114,0.0,0.013295099,0.0,0.0
1130,710,0.07541101,0.34534878,0.04730363,0.068619974,0.3443107,0.044888996,0.015119918,0.021207381,0.0
1020,2510,0.0,0.0,0.0,0.018502552,0.033247676,0.0,0.15470465,0.5727254,0.054110516
390,310,0.684159814392556,0.16090566,0.013461041,0.1121285,0.043560583,0.0,0.010688217,0.0,0.0
780,2120,0.0,0.0,0.0,0.06765862,0.08507485,0.016139673,0.35401008,0.46588233,0.029760784
1910,2660,0.0,0.0,0.0,0.0,0.019159678,0.025324272,0.015119918,0.13737758,0.41154054
1770,1060,0.0,0.07105986,0.09914574,0.018748626,0.26175502,0.42937303,0.0,0.036157962,0.03847859
1970,2310,0.0,0.0,0.0,0.0,0.035269488,0.066279575,0.016423358,0.17081285,0.7400959204646478
1840,1050,0.0,0.062075276,0.10909656,0.0,0.21864574,0.48032075,0.0,0.032315943,0.0408835
930,2390,0.0,0.0,0.0,0.030600784,0.043954555,0.0136550795,0.22771548,0.5907236,0.04629455
870,1010,0.07530347,0.11952213,0.019221827,0.2128018,0.46293166,0.030739203,0.03362878,0.03964813,0.0
2280,90,0.0,0.0612585,0.7193891,0.0,0.020557208,0.053269003,0.0,0.0,0.0
260,2070,0.0,0.0,0.0,0.13391353,0.035010763,0.0,0.76880085,0.11203301,0.0
1050,1770,0.0,0.018785939,0.0,0.07689281,0.29162157,0.037570138,0.11045202,0.39892536,0.04839885
1750,1620,0.0,0.021780798,0.022780225,0.017014377,0.21160173,0.28425172,0.017987488,0.13632439,0.19045646
2360,1820,0.0,0.0,0.017925244,0.0,0.033247676,0.28423136,0.0,0.039105006,0.3836732167282808
1820,690,0.0,0.14000319,0.282423,0.0,0.13749887,0.24908514,0.0,0.016293753,0.0
1770,2050,0.0,0.0,0.0,0.0,0.08560407,0.11197853,0.022419186,0.27154744,0.4845266969156474
1130,550,0.09945489,0.50939846,0.05785997,0.053128917,0.22033629,0.03594514,0.012513035,0.01493594,0.0
2610,1630,0.0,0.0,0.023705838,0.0,0.023667838,0.31357807,0.0,0.019552503,0.15601864
2810,940,0.0,0.0,0.0872379,0.0,0.017440697,0.22322518,0.0,0.0,0.020141136
730,1180,0.057541102,0.061978683,0.013473647,0.33548567,0.37409884,0.023664307,0.061912317,0.055127192,0.0
1860,1060,0.0,0.060455926,0.10801608,0.0,0.20737533,0.5093925,0.0,0.03095813,0.04238657
1930,2490,0.0,0.0,0.0,0.0,0.025583018,0.037442006,0.016684046,0.16633797,0.57123492227347
250,530,0.5315739480279158,0.08351327,0.0,0.22487366,0.046747655,0.0,0.016423358,0.0,0.0
2490,2630,0.0,0.0,0.0,0.0,0.0,0.02659185,0.0,0.028242504,0.35956585526455126
340,1840,0.0,0.0,0.0,0.26221225,0.06621359,0.0,0.5224192,0.106724076,0.0
1730,1650,0.0,0.019330459,0.020450428,0.019592315,0.2090659,0.2595755,0.018248176,0.1497325,0.19763355
1630,2270,0.0,0.0,0.0,0.0,0.056915518,0.053591862,0.031881034,0.440039,0.3827988428166656
120,1040,0.120085776,0.029676337,0.0,0.6925884,0.05932328,0.0,0.051194634,0.017965633,0.0
1040,660,0.103915215,0.37180394,0.04008599,0.07888826,0.30091965,0.03167856,0.015385593,0.019529833,0.0
1740,2250,0.0,0.0,0.0,0.0,0.05421552,0.06294218,0.024862856,0.34138104,0.49781674
370,2210,0.0,0.0,0.0,0.082552545,0.034599144,0.0,0.7717387,0.16972658,0.0
2770,1940,0.0,0.0,0.0,0.0,0.013912573,0.11880946,0.0,0.01812432,0.20471811
2780,80,0.0,0.00980136,0.27206835,0.0,0.0,0.038368635,0.0,0.0,0.0
140,2190,0.0,0.0,0.0,0.090679385,0.02484976,0.0,0.77137643,0.083098136,0.0
760,1050,0.08005718,0.0948658,0.01553197,0.28775966,0.37413412,0.023420345,0.04342373,0.040191256,0.0
1900,2350,0.0,0.0,0.0,0.0,0.035081323,0.054159548,0.01966334,0.20693065,0.6587182848639124
760,230,0.3462107117359676,0.45098752,0.026126124,0.058674898,0.06281238,0.013420876,0.0,0.0,0.0
40,1050,0.11258041,0.02368662,0.0,0.66228354,0.046772156,0.0,0.051355578,0.016836876,0.0
400,2380,0.0,0.0,0.0,0.050252665,0.026767198,0.0,0.666402847080765,0.1750204,0.0
1120,610,0.094069675,0.44568962,0.050478905,0.058073867,0.25724688,0.037082214,0.01354672,0.017682264,0.0
2040,2730,0.0,0.0,0.0,0.0,0.0,0.02268846,0.0,0.08548694,0.38478586
1660,780,0.0,0.17503808,0.17028442,0.018809658,0.23880701,0.20907538,0.0,0.021094033,0.018337453
2800,1720,0.0,0.0,0.0176029,0.0,0.01722901,0.17809221,0.0,0.015479065,0.13046646
750,2320,0.0,0.0,0.0,0.04444596,0.048664603,0.012686021,0.37140864,0.46138474,0.026754642
