x,y,led_0,led_1,led_2,led_3,led_4,led_5,led_6,led_7,led_8,led_9,led_10,led_11,led_12,led_13,led_14,led_15,led_16,led_17,led_18,led_19,led_20,led_21,led_22,led_23,led_24,led_25,led_26,led_27,led_28,led_29,led_30,led_31,led_32,led_33,led_34,led_35
400,1600,0.023181774,0.024448577,0.017659493,0.0,0.0,0.0,0.1195277,0.07003382,0.053703293,0.018628912,0.0,0.0,0.430160358502063,0.39919245,0.115521595,0.030686054,0.0,0.0,0.63585836,0.5577659,0.16953541,0.03594709,0.0,0.0,0.2756023,0.2070413727580049,0.08447815,0.025766555,0.0,0.0,0.058411434,0.06010335,0.030448137,0.016558124,0.0,0.0
2240,1920,0.0,0.0,0.0,0.0,0.015893932,0.0,0.0,0.0,0.019356523,0.0307998,0.03012685,0.029374912,0.0,0.015473086,0.040009916,0.1291772,0.22201471,0.13373634,0.0,0.02217358,0.06467846,0.3022332,0.661442,0.36463135,0.0,0.0,0.060015317,0.2617882,0.5403695715436498,0.3556945,0.0,0.0,0.038380004,0.11192385,0.17632803,0.12265141
2640,0,0.0,0.0,0.023414358,0.08950337,0.3820865,0.7034173,0.0,0.0,0.0,0.04674658,0.16839047,0.23628767,0.0,0.0,0.0,0.020465184,0.03639318,0.04773107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2720,800,0.0,0.0,0.0,0.041841004,0.14741056,0.23023197,0.0,0.0,0.02055165,0.06905117,0.25924945,0.7305521,0.0,0.0,0.0197232,0.062708326,0.21956573,0.48186097,0.0,0.0,0.0,0.031352237,0.07079415,0.11309342,0.0,0.0,0.0,0.0,0.0,0.027899895,0.0,0.0,0.0,0.0,0.0,0.0
0,2080,0.0,0.0,0.0,0.0,0.0,0.0,0.029211923,0.0,0.0,0.0,0.0,0.0,0.12436833,0.06826567,0.02202726,0.0,0.0,0.0,0.47898106886513825,0.16908951,0.045935933,0.0,0.0,0.0,0.6277953,0.2677061551947112,0.05214001,0.01623293,0.0,0.0,0.23569794,0.121248506,0.027889468,0.0,0.0,0.0
720,1840,0.0,0.015413234,0.0,0.0,0.0,0.0,0.044878464,0.03992266,0.04948621,0.02108728,0.0,0.0,0.15057491,0.2682989,0.15919438,0.049985956,0.017524527,0.0,0.3226744,0.76995665,0.4066559,0.08969466,0.027429467,0.0,0.2990094,0.3979020547724072,0.29491693,0.07241164,0.023425933,0.0,0.08717143,0.14075631,0.08827401,0.033701528,0.0,0.0
2160,1200,0.0,0.0,0.025693767,0.06078589,0.08409414,0.04939934,0.0,0.0,0.059538648,0.19920518,0.2820259,0.15082976,0.0,0.023908712,0.09185375,0.39955166,0.80458647,0.3646231,0.0,0.01938281,0.05644274,0.22900765,0.37205398,0.19339263,0.0,0.0,0.024233768,0.05617109,0.068539985,0.058808193,0.0,0.0,0.0,0.020651098,0.022233289,0.018641751
560,960,0.13404854,0.16688812,0.0844006,0.029350556,0.013538475,0.0,0.43898287,0.5588989979634121,0.2344299,0.05091903,0.01661182,0.0,0.41408685,0.6296097,0.20878415,0.048301037,0.01512564,0.0,0.13612565,0.18107626,0.10080485,0.02942096,0.013322884,0.0,0.03847486,0.034331933,0.029107725,0.01650852,0.0,0.0,0.014492754,0.016773317,0.012281601,0.0,0.0,0.0
2720,1040,0.0,0.0,0.0,0.02903402,0.08122005,0.113900244,0.0,0.0,0.018013969,0.05688028,0.17640959,0.45885628,0.0,0.0,0.01979278,0.0814378,0.30547258,0.7274913,0.0,0.0,0.0,0.04420843,0.12408568,0.2350699,0.0,0.0,0.0,0.018637959,0.021644205,0.04883812,0.0,0.0,0.0,0.0,0.016389996,0.017865011
1760,80,0.023360785,0.06271591,0.29512984,0.7508787,0.46311158,0.10351708,0.015984876,0.039246008,0.12768923,0.2877263,0.27219874,0.05376483,0.0,0.019919245,0.03775584,0.05644482,0.041599777,0.02793384,0.0,0.0,0.0,0.017993458,0.015935214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2480,1600,0.0,0.0,0.0,0.018566946,0.024333421,0.022200048,0.0,0.0,0.019255534,0.046010498,0.05782149,0.0912249,0.0,0.0,0.029866556,0.1305813,0.40666234,0.40322748,0.0,0.014792145,0.035797175,0.17284624,0.56918085,0.64205074,0.0,0.0,0.024169065,0.082452975,0.18036838,0.25389937,0.0,0.0,0.015773848,0.036713064,0.063899495,0.057337508
2320,720,0.0,0.010629816,0.036210578,0.13310671,0.3259125,0.22320908,0.0,0.0,0.054083288,0.24316941,0.6541814,0.4479829,0.0,0.0,0.0407028,0.15779056,0.34276652,0.29494005,0.0,0.0,0.02027253,0.055451144,0.08188633,0.06938136,0.0,0.0,0.0,0.017207578,0.019122185,0.0211828,0.0,0.0,0.0,0.0,0.0,0.0
0,1680,0.0,0.010526291,0.0,0.0,0.0,0.0,0.093269356,0.034936592,0.02217415,0.0,0.0,0.0,0.3740585,0.14538476,0.033811197,0.0,0.0,0.0,0.6840909,0.23463401,0.053394694,0.017175574,0.0,0.0,0.31352225,0.14097552,0.03448844,0.0,0.0,0.0,0.072463766,0.051096614,0.017461233,0.0,0.0,0.0
160,1920,0.0,0.0,0.0,0.0,0.0,0.0,0.04609588,0.022975683,0.01996661,0.0,0.0,0.0,0.21420549,0.12747568,0.035783514,0.0,0.0,0.0,0.6979738058736858,0.30782965,0.07957208,0.021264995,0.0,0.0,0.5951427150187896,0.31572083,0.07127312,0.018799279,0.0,0.0,0.15967454,0.118615806,0.033006802,0.0,0.0,0.0
1120,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.019105786,0.020976312,0.036332686,0.027359555,0.014052762,0.0,0.04300466,0.11876833,0.15468623,0.09652394,0.0327783,0.0,0.08875592,0.3600253,0.5876464,0.23500547,0.06811503,0.016264295,0.12017728,0.25572458236989987,0.6283957,0.27029115,0.07274858,0.019414496,0.048870757,0.15496843,0.21313694,0.10988424,0.033687472,0.014958593
2480,880,0.0,0.0,0.02088684,0.066232495,0.1820509,0.1698678,0.0,0.0,0.032969173,0.13040239,0.4128137,0.4911279,0.0,0.0,0.03183888,0.13481705,0.40570867,0.5116903,0.0,0.0,0.019187286,0.054757006,0.12250239,0.1302664,0.0,0.0,0.0,0.022090228,0.023748504,0.03166982,0.0,0.0,0.0,0.0,0.0,0.0
560,160,0.54538953,0.754765,0.27797747,0.057269875,0.017085167,0.0,0.23959137,0.3763053475453055,0.14656572,0.040889002,0.018244324,0.0,0.06285477,0.075908475,0.043391034,0.0196574,0.0,0.0,0.01770132,0.021162303,0.017726513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2720,1120,0.0,0.0,0.0,0.027196655,0.06820021,0.08911081,0.0,0.0,0.019142663,0.0484572,0.14244185,0.3822691,0.0,0.0,0.020850237,0.08241163,0.32910463,0.7930244,0.0,0.0,0.01687784,0.04796359,0.14486575,0.29580688,0.0,0.0,0.0,0.010821953,0.032466307,0.06354839,0.0,0.0,0.0,0.0,0.017352812,0.018406374
560,2560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028087784,0.030686405,0.02259176,0.0,0.0,0.0,0.118057944,0.13771997,0.07331262,0.02508179,0.0,0.0,0.41926286,0.5654037409148539,0.22246782,0.0538521,0.0,0.0,0.5252988,0.7080657222728028,0.2220923,0.05393096,0.015393979,0.0
1120,1920,0.0,0.0,0.0,0.012029289,0.0,0.0,0.022539906,0.024769112,0.046908554,0.0307998,0.0,0.0,0.049097963,0.14562583,0.19300558,0.11101132,0.037082214,0.0,0.09399152,0.400163834433404,0.6652547,0.2644493,0.07340648,0.01707751,0.11390126,0.2304923,0.56213444,0.24160515,0.071245514,0.019107498,0.043224003,0.12956417,0.17194241,0.091017805,0.029165745,0.0
2800,720,0.0,0.0,0.015246559,0.038441423,0.14667583,0.29084557,0.0,0.0,0.017754368,0.054138537,0.21062367,0.78745383,0.0,0.0,0.0,0.0439896,0.15150036,0.3871185,0.0,0.0,0.0,0.022246458,0.05094044,0.08304337,0.0,0.0,0.0,0.0,0.0,0.023491416,0.0,0.0,0.0,0.0,0.0,0.0
